density,time_of_day,week_or_weekend,year,month,time_binary,week_binary,amenities_total,public_transport,pedestrian_total
Pt1,AM,week,2017,9,1,1,2,28,1111
Pt2,AM,week,2017,9,1,1,0,3,2389
Pt3,AM,week,2017,9,1,1,1,19,2783
Pt4,AM,week,2017,9,1,1,0,3,2453
Pt5,AM,week,2017,9,1,1,0,2,1082
Pt6,AM,week,2017,9,1,1,0,6,962
Pt7,AM,week,2017,9,1,1,0,13,1702
Pt8,AM,week,2017,9,1,1,0,31,2023
Pt9,AM,week,2017,9,1,1,2,4,1563
Pt10,AM,week,2017,9,1,1,17,0,905
Pt11,AM,week,2017,9,1,1,17,22,3494
Pt12,AM,week,2017,9,1,1,22,13,1441
Pt13,AM,week,2017,9,1,1,9,4,603
Pt14,AM,week,2017,9,1,1,33,10,2566
Pt15,AM,week,2017,9,1,1,9,19,1575
Pt16,AM,week,2017,9,1,1,2,19,2213
Pt17,AM,week,2017,9,1,1,10,1,2598
Pt18,AM,week,2017,9,1,1,28,3,2341
Pt19,AM,week,2017,9,1,1,7,9,1424
Pt20,AM,week,2017,9,1,1,0,33,236
Pt21,AM,week,2017,9,1,1,1,1,1032
Pt22,AM,week,2017,9,1,1,15,24,882
Pt23,AM,week,2017,9,1,1,41,34,2003
Pt24,AM,week,2017,9,1,1,0,1,1004
Pt25,AM,week,2017,9,1,1,19,4,606
Pt26,AM,week,2017,9,1,1,1,8,4338
Pt27,AM,week,2017,9,1,1,2,1,1903
Pt28,AM,week,2017,9,1,1,8,1,1519
Pt29,AM,week,2017,9,1,1,7,3,1495
Pt30,AM,week,2017,9,1,1,1,1,309
pt31,AM,week,2017,9,1,1,0,0,807
Pt32,AM,week,2017,9,1,1,2,68,1758
Pt33,AM,week,2017,9,1,1,2,3,98
Pt34,AM,week,2017,9,1,1,67,0,986
pt35,AM,week,2017,9,1,1,28,2,4924
Pt36,AM,week,2017,9,1,1,12,28,7798
Pt37,AM,week,2017,9,1,1,72,3,2091
Pt38,AM,week,2017,9,1,1,19,37,8401
Pt39,AM,week,2017,9,1,1,91,1,1592
Pt40,AM,week,2017,9,1,1,30,113,1634
Pt41,AM,week,2017,9,1,1,88,10,4251
Pt42,AM,week,2017,9,1,1,88,75,8551
Pt43,AM,week,2017,9,1,1,62,18,1212
Pt44,AM,week,2017,9,1,1,4,2,7802
Pt45,AM,week,2017,9,1,1,5,1,2985
Pt46,AM,week,2017,9,1,1,36,58,1336
Pt47,AM,week,2017,9,1,1,14,2,3625
Pt48,AM,week,2017,9,1,1,27,1,2846
Pt49,AM,week,2017,9,1,1,24,0,4656
Pt50,AM,week,2017,9,1,1,6,1,786
Pt51,AM,week,2017,9,1,1,29,67,9523
Pt52,AM,week,2017,9,1,1,31,80,2306
Pt53,AM,week,2017,9,1,1,46,86,5792
Pt54,AM,week,2017,9,1,1,9,4,1979
Pt55,AM,week,2017,9,1,1,38,2,2128
Pt56,AM,week,2017,9,1,1,1,24,1386
Pt57,AM,week,2017,9,1,1,63,92,14215
Pt58,AM,week,2017,9,1,1,32,24,7553
Pt59,AM,week,2017,9,1,1,233,19,2696
Pt60,AM,week,2017,9,1,1,25,8,1850
Pt61,AM,week,2017,9,1,1,101,9,5148
Pt62,AM,week,2017,9,1,1,92,41,5614
Pt63,AM,week,2017,9,1,1,41,16,5576
Pt64,AM,week,2017,9,1,1,62,9,4032
Pt65,AM,week,2017,9,1,1,134,9,5221
Pt66,AM,week,2017,9,1,1,101,24,7749
Pt67,AM,week,2017,9,1,1,153,56,5100
Pt68,AM,week,2017,9,1,1,67,54,6000
Pt69,AM,week,2017,9,1,1,44,52,4829
Pt70,AM,week,2017,9,1,1,0,13,268
Pt71,AM,week,2017,9,1,1,11,18,1165
Pt72,AM,week,2017,9,1,1,11,1,1378
Pt73,AM,week,2017,9,1,1,19,4,2776
Pt74,AM,week,2017,9,1,1,7,11,866
Pt75,AM,week,2017,9,1,1,5,4,632
Pt76,AM,week,2017,9,1,1,8,6,371
Pt77,AM,week,2017,9,1,1,19,37,1131
Pt78,AM,week,2017,9,1,1,9,2,818
Pt79,AM,week,2017,9,1,1,4,3,1625
Pt80,AM,week,2017,9,1,1,17,3,1228
Pt81,AM,week,2017,9,1,1,4,26,887
Pt82,AM,week,2017,9,1,1,4,4,3807
Pt83,AM,week,2017,9,1,1,4,5,97
Pt84,AM,week,2017,9,1,1,1,1,813
Pt85,AM,week,2017,9,1,1,18,71,1271
Pt86,AM,week,2017,9,1,1,16,1,880
Pt87,AM,week,2017,9,1,1,3,5,283
Pt88,AM,week,2017,9,1,1,4,1,347
Pt89,AM,week,2017,9,1,1,3,37,1368
Pt90,AM,week,2017,9,1,1,1,32,1066
Pt91,AM,week,2017,9,1,1,1,35,5531
Pt92,AM,week,2017,9,1,1,15,35,3415
Pt93,AM,week,2017,9,1,1,11,11,1054
Pt94,AM,week,2017,9,1,1,13,4,1265
Pt95,AM,week,2017,9,1,1,0,15,288
Pt96,AM,week,2017,9,1,1,0,2,228
Pt97,AM,week,2017,9,1,1,1,1,531
Pt98,AM,week,2017,9,1,1,3,149,1086
Pt99,AM,week,2017,9,1,1,0,2,169
Pt100,AM,week,2017,9,1,1,2,6,634
Pt1,PM,week,2017,9,0,1,2,28,4044
Pt2,PM,week,2017,9,0,1,0,3,5952
Pt3,PM,week,2017,9,0,1,1,19,12388
Pt4,PM,week,2017,9,0,1,0,3,3429
Pt5,PM,week,2017,9,0,1,0,2,3330
Pt6,PM,week,2017,9,0,1,0,6,1872
Pt7,PM,week,2017,9,0,1,0,13,7883
Pt8,PM,week,2017,9,0,1,0,31,5520
Pt9,PM,week,2017,9,0,1,2,4,4730
Pt10,PM,week,2017,9,0,1,17,0,2463
Pt11,PM,week,2017,9,0,1,17,22,4122
Pt12,PM,week,2017,9,0,1,22,13,5004
Pt13,PM,week,2017,9,0,1,9,4,2018
Pt14,PM,week,2017,9,0,1,33,10,6127
Pt15,PM,week,2017,9,0,1,9,19,5315
Pt16,PM,week,2017,9,0,1,2,19,3864
Pt17,PM,week,2017,9,0,1,10,1,3427
Pt18,PM,week,2017,9,0,1,28,3,5129
Pt19,PM,week,2017,9,0,1,7,9,2276
Pt20,PM,week,2017,9,0,1,0,33,999
Pt21,PM,week,2017,9,0,1,1,1,4343
Pt22,PM,week,2017,9,0,1,15,24,2678
Pt23,PM,week,2017,9,0,1,41,34,11406
Pt24,PM,week,2017,9,0,1,0,1,4347
Pt25,PM,week,2017,9,0,1,19,4,2013
Pt26,PM,week,2017,9,0,1,1,8,7010
Pt27,PM,week,2017,9,0,1,2,1,5017
Pt28,PM,week,2017,9,0,1,8,1,4121
Pt29,PM,week,2017,9,0,1,7,3,2013
Pt30,PM,week,2017,9,0,1,1,1,5016
pt31,PM,week,2017,9,0,1,0,0,2445
Pt32,PM,week,2017,9,0,1,2,68,2840
Pt33,PM,week,2017,9,0,1,2,3,295
Pt34,PM,week,2017,9,0,1,67,0,3996
pt35,PM,week,2017,9,0,1,28,2,8303
Pt36,PM,week,2017,9,0,1,12,28,12650
Pt37,PM,week,2017,9,0,1,72,3,9305
Pt38,PM,week,2017,9,0,1,19,37,9937
Pt39,PM,week,2017,9,0,1,91,1,3626
Pt40,PM,week,2017,9,0,1,30,113,3238
Pt41,PM,week,2017,9,0,1,88,10,19584
Pt42,PM,week,2017,9,0,1,88,75,16529
Pt43,PM,week,2017,9,0,1,62,18,5016
Pt44,PM,week,2017,9,0,1,4,2,23979
Pt45,PM,week,2017,9,0,1,5,1,19551
Pt46,PM,week,2017,9,0,1,36,58,3305
Pt47,PM,week,2017,9,0,1,14,2,6414
Pt48,PM,week,2017,9,0,1,27,1,7266
Pt49,PM,week,2017,9,0,1,24,0,10732
Pt50,PM,week,2017,9,0,1,6,1,2495
Pt51,PM,week,2017,9,0,1,29,67,23193
Pt52,PM,week,2017,9,0,1,31,80,4271
Pt53,PM,week,2017,9,0,1,46,86,10494
Pt54,PM,week,2017,9,0,1,9,4,8087
Pt55,PM,week,2017,9,0,1,38,2,9186
Pt56,PM,week,2017,9,0,1,1,24,7668
Pt57,PM,week,2017,9,0,1,63,92,25734
Pt58,PM,week,2017,9,0,1,32,24,16774
Pt59,PM,week,2017,9,0,1,233,19,12024
Pt60,PM,week,2017,9,0,1,25,8,4501
Pt61,PM,week,2017,9,0,1,101,9,11761
Pt62,PM,week,2017,9,0,1,92,41,9926
Pt63,PM,week,2017,9,0,1,41,16,10725
Pt64,PM,week,2017,9,0,1,62,9,9340
Pt65,PM,week,2017,9,0,1,134,9,22146
Pt66,PM,week,2017,9,0,1,101,24,17784
Pt67,PM,week,2017,9,0,1,153,56,13429
Pt68,PM,week,2017,9,0,1,67,54,17338
Pt69,PM,week,2017,9,0,1,44,52,12806
Pt70,PM,week,2017,9,0,1,0,13,649
Pt71,PM,week,2017,9,0,1,11,18,4684
Pt72,PM,week,2017,9,0,1,11,1,4375
Pt73,PM,week,2017,9,0,1,19,4,8450
Pt74,PM,week,2017,9,0,1,7,11,4765
Pt75,PM,week,2017,9,0,1,5,4,1788
Pt76,PM,week,2017,9,0,1,8,6,491
Pt77,PM,week,2017,9,0,1,19,37,1691
Pt78,PM,week,2017,9,0,1,9,2,959
Pt79,PM,week,2017,9,0,1,4,3,3046
Pt80,PM,week,2017,9,0,1,17,3,10284
Pt81,PM,week,2017,9,0,1,4,26,1287
Pt82,PM,week,2017,9,0,1,4,4,11109
Pt83,PM,week,2017,9,0,1,4,5,171
Pt84,PM,week,2017,9,0,1,1,1,1644
Pt85,PM,week,2017,9,0,1,18,71,3736
Pt86,PM,week,2017,9,0,1,16,1,2624
Pt87,PM,week,2017,9,0,1,3,5,1245
Pt88,PM,week,2017,9,0,1,4,1,2299
Pt89,PM,week,2017,9,0,1,3,37,1840
Pt90,PM,week,2017,9,0,1,1,32,1950
Pt91,PM,week,2017,9,0,1,1,35,8837
Pt92,PM,week,2017,9,0,1,15,35,12440
Pt93,PM,week,2017,9,0,1,11,11,4770
Pt94,PM,week,2017,9,0,1,13,4,2730
Pt95,PM,week,2017,9,0,1,0,15,781
Pt96,PM,week,2017,9,0,1,0,2,368
Pt97,PM,week,2017,9,0,1,1,1,657
Pt98,PM,week,2017,9,0,1,3,149,1679
Pt99,PM,week,2017,9,0,1,0,2,277
Pt100,PM,week,2017,9,0,1,2,6,717
Pt1,MD,weekend,2017,9,0.5,0,2,28,2731
Pt2,MD,weekend,2017,9,0.5,0,0,3,2832
Pt3,MD,weekend,2017,9,0.5,0,1,19,7076
Pt4,MD,weekend,2017,9,0.5,0,0,3,1551
Pt5,MD,weekend,2017,9,0.5,0,0,2,2479
Pt6,MD,weekend,2017,9,0.5,0,0,6,1199
Pt7,MD,weekend,2017,9,0.5,0,0,13,6921
Pt8,MD,weekend,2017,9,0.5,0,0,31,3166
Pt9,MD,weekend,2017,9,0.5,0,2,4,5563
Pt10,MD,weekend,2017,9,0.5,0,17,0,1679
Pt11,MD,weekend,2017,9,0.5,0,17,22,2450
Pt12,MD,weekend,2017,9,0.5,0,22,13,3638
Pt13,MD,weekend,2017,9,0.5,0,9,4,1935
Pt14,MD,weekend,2017,9,0.5,0,33,10,3572
Pt15,MD,weekend,2017,9,0.5,0,9,19,4827
Pt16,MD,weekend,2017,9,0.5,0,2,19,2368
Pt17,MD,weekend,2017,9,0.5,0,10,1,2107
Pt18,MD,weekend,2017,9,0.5,0,28,3,3671
Pt19,MD,weekend,2017,9,0.5,0,7,9,2670
Pt20,MD,weekend,2017,9,0.5,0,0,33,939
Pt21,MD,weekend,2017,9,0.5,0,1,1,2716
Pt22,MD,weekend,2017,9,0.5,0,15,24,1380
Pt23,MD,weekend,2017,9,0.5,0,41,34,6445
Pt24,MD,weekend,2017,9,0.5,0,0,1,1833
Pt25,MD,weekend,2017,9,0.5,0,19,4,1029
Pt26,MD,weekend,2017,9,0.5,0,1,8,2353
Pt27,MD,weekend,2017,9,0.5,0,2,1,2548
Pt28,MD,weekend,2017,9,0.5,0,8,1,3219
Pt29,MD,weekend,2017,9,0.5,0,7,3,1860
Pt30,MD,weekend,2017,9,0.5,0,1,1,2932
pt31,MD,weekend,2017,9,0.5,0,0,0,2582
Pt32,MD,weekend,2017,9,0.5,0,2,68,1248
Pt33,MD,weekend,2017,9,0.5,0,2,3,394
Pt34,MD,weekend,2017,9,0.5,0,67,0,2905
pt35,MD,weekend,2017,9,0.5,0,28,2,2036
Pt36,MD,weekend,2017,9,0.5,0,12,28,8126
Pt37,MD,weekend,2017,9,0.5,0,72,3,4663
Pt38,MD,weekend,2017,9,0.5,0,19,37,3302
Pt39,MD,weekend,2017,9,0.5,0,91,1,2977
Pt40,MD,weekend,2017,9,0.5,0,30,113,2420
Pt41,MD,weekend,2017,9,0.5,0,88,10,5078
Pt42,MD,weekend,2017,9,0.5,0,88,75,6279
Pt43,MD,weekend,2017,9,0.5,0,62,18,1690
Pt44,MD,weekend,2017,9,0.5,0,4,2,12536
Pt45,MD,weekend,2017,9,0.5,0,5,1,11576
Pt46,MD,weekend,2017,9,0.5,0,36,58,2866
Pt47,MD,weekend,2017,9,0.5,0,14,2,3704
Pt48,MD,weekend,2017,9,0.5,0,27,1,2938
Pt49,MD,weekend,2017,9,0.5,0,24,0,4176
Pt50,MD,weekend,2017,9,0.5,0,6,1,1711
Pt51,MD,weekend,2017,9,0.5,0,29,67,10593
Pt52,MD,weekend,2017,9,0.5,0,31,80,2993
Pt53,MD,weekend,2017,9,0.5,0,46,86,6854
Pt54,MD,weekend,2017,9,0.5,0,9,4,5486
Pt55,MD,weekend,2017,9,0.5,0,38,2,3972
Pt56,MD,weekend,2017,9,0.5,0,1,24,6307
Pt57,MD,weekend,2017,9,0.5,0,63,92,17262
Pt58,MD,weekend,2017,9,0.5,0,32,24,3818
Pt59,MD,weekend,2017,9,0.5,0,233,19,2551
Pt60,MD,weekend,2017,9,0.5,0,25,8,1904
Pt61,MD,weekend,2017,9,0.5,0,101,9,2136
Pt62,MD,weekend,2017,9,0.5,0,92,41,2480
Pt63,MD,weekend,2017,9,0.5,0,41,16,895
Pt64,MD,weekend,2017,9,0.5,0,62,9,1479
Pt65,MD,weekend,2017,9,0.5,0,134,9,15522
Pt66,MD,weekend,2017,9,0.5,0,101,24,7483
Pt67,MD,weekend,2017,9,0.5,0,153,56,6408
Pt68,MD,weekend,2017,9,0.5,0,67,54,9274
Pt69,MD,weekend,2017,9,0.5,0,44,52,4777
Pt70,MD,weekend,2017,9,0.5,0,0,13,950
Pt71,MD,weekend,2017,9,0.5,0,11,18,4333
Pt72,MD,weekend,2017,9,0.5,0,11,1,2787
Pt73,MD,weekend,2017,9,0.5,0,19,4,6170
Pt74,MD,weekend,2017,9,0.5,0,7,11,2387
Pt75,MD,weekend,2017,9,0.5,0,5,4,1369
Pt76,MD,weekend,2017,9,0.5,0,8,6,376
Pt77,MD,weekend,2017,9,0.5,0,19,37,1146
Pt78,MD,weekend,2017,9,0.5,0,9,2,522
Pt79,MD,weekend,2017,9,0.5,0,4,3,2379
Pt80,MD,weekend,2017,9,0.5,0,17,3,7037
Pt81,MD,weekend,2017,9,0.5,0,4,26,1524
Pt82,MD,weekend,2017,9,0.5,0,4,4,7963
Pt83,MD,weekend,2017,9,0.5,0,4,5,115
